City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial
Thanjavur,Thanjavur,20,20,0.115877,0.1149683,0.1119263,0.1197638,0.1129445,0.1203416,0.1198671,0.2130212,0.1285048,0.1368372,0.0386257,0.0383228,0.0373088,0.0399213,0.0376482,0.0401139,0.0399557,0.0710071,0.0428349,0.0456124
Thanjavur,Thanjavur,21,21,0.0136026,0.0094889,0.015269,0.0155612,0.0109452,0.0212486,0.019791,0.023807,0.0210427,0.0187821,0.0045342,0.003163,0.0050897,0.0051871,0.0036484,0.0070829,0.006597,0.0079357,0.0070142,0.0062607
Thanjavur,Thanjavur,22,22,0.3029796,0.2944096,0.299695,0.3164457,0.3026701,0.3373412,0.3328875,0.8027642,0.3794608,0.4285298,0.1009932,0.0981365,0.0998983,0.1054819,0.10089,0.1124471,0.1109625,0.2675881,0.1264869,0.1428433
Thanjavur,Thanjavur,23,23,0.1936766,0.1884998,0.1937067,0.20556,0.1957929,0.2087435,0.2069947,0.3989794,0.2262677,0.2432116,0.0645589,0.0628333,0.0645689,0.06852,0.0652643,0.0695812,0.0689982,0.1329931,0.0754226,0.0810705
Thanjavur,Thanjavur,24,24,0.0797351,0.0796728,0.0795692,0.0828295,0.0685987,0.1079543,0.1095773,0.1142289,0.114212,0.1145708,0.0265784,0.0265576,0.0265231,0.0276098,0.0228662,0.0359848,0.0365258,0.0380763,0.0380707,0.0381903
Thanjavur,Thanjavur,25,25,0.2429855,0.2536634,0.2463428,0.2619176,0.2498694,0.2650667,0.2747796,0.3194036,0.2762942,0.2942858,0.0809952,0.0845545,0.0821143,0.0873059,0.0832898,0.0883556,0.0915932,0.1064679,0.0920981,0.0980953
Thanjavur,Thanjavur,26,26,0.2333838,0.242307,0.2561477,0.2953022,0.2643101,0.2454683,0.2534711,0.5210068,0.3138643,0.3023582,0.0777946,0.080769,0.0853826,0.0984341,0.0881034,0.0818228,0.0844904,0.1736689,0.1046214,0.1007861
Thanjavur,Thanjavur,27,27,0.1023841,0.0915091,0.0938969,0.0987108,0.0897789,0.1250758,0.1115106,0.221909,0.1159113,0.1172251,0.034128,0.030503,0.031299,0.0329036,0.0299263,0.0416919,0.0371702,0.0739697,0.0386371,0.039075
Thanjavur,Thanjavur,28,28,0.0263496,0.0266391,0.0252859,0.0338486,0.0261625,0.0290537,0.0294249,0.0328896,0.0377235,0.0413083,0.0087832,0.0088797,0.0084286,0.0112829,0.0087208,0.0096846,0.0098083,0.0109632,0.0125745,0.0137694
Thanjavur,Thanjavur,29,29,0.0697834,0.0769637,0.075859,0.0860798,0.0735315,0.0777941,0.0835181,0.097604,0.1068878,0.1196048,0.0232611,0.0256546,0.0252863,0.0286933,0.0245105,0.0259314,0.0278394,0.0325347,0.0356293,0.0398683
Thanjavur,Thanjavur,30,30,0.0632324,0.0743255,0.0771997,0.0856286,0.0761051,0.0753967,0.0864737,0.0968416,0.1065197,0.1163994,0.0210775,0.0247752,0.0257332,0.0285429,0.0253684,0.0251322,0.0288246,0.0322805,0.0355066,0.0387998
Thanjavur,Thanjavur,31,31,0.0416886,0.0406668,0.0454904,0.0501608,0.0449612,0.0515764,0.0497135,0.0673001,0.0596488,0.0660588,0.0138962,0.0135556,0.0151635,0.0167203,0.0149871,0.0171921,0.0165712,0.0224334,0.0198829,0.0220196
Thanjavur,Thanjavur,32,32,0.0638621,0.0657554,0.0665771,0.0684761,0.0678124,0.0663722,0.0657554,0.0686096,0.0703923,0.0793616,0.0212874,0.0219185,0.0221924,0.0228254,0.0226041,0.0221241,0.0219185,0.0228699,0.0234641,0.0264539
Thanjavur,Thanjavur,33,33,0.091259,0.0874367,0.0837067,0.0901204,0.0881723,0.1551519,0.0922028,0.1726637,0.0996238,0.1214655,0.0304197,0.0291456,0.0279022,0.0300401,0.0293908,0.0517173,0.0307343,0.0575546,0.0332079,0.0404885
Thanjavur,Thanjavur,34,34,0.0477982,0.0496859,0.0488942,0.0531726,0.0496371,0.0496386,0.0496859,0.0509963,0.0542557,0.0595363,0.0159327,0.016562,0.0162981,0.0177242,0.0165457,0.0165462,0.016562,0.0169988,0.0180852,0.0198454
