City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial
Jabalpur,4,NA,12,5991730,6290369.49,5533937,5675407,6440086.38,4654252,4631967,4668241,4780939,5036835,1789832,1538636,1134832.09,1482838,1291121,1110944,1012668,1024879,1011040,1069873,4163938.28,4329578.1,4174451.4,5560144,5173648,4367659,4686594,5275661,4504208,5067397
Jabalpur,4,NA,13,5894899.36,6786649.7,6708841,8907058.31,8583924.33,5799907,5846825,6065786,6152316,6586214,327295,366749,970083.29,672577,589930,431256,377735,373623,390370,431084,2501751,2890330.39,2797612,3479899.09,3963405,2073622,2532286,2691921,3188985,3537656
Jabalpur,4,NA,14,6266099,7045288,5563520,5602523.11,6389277,4629773,4725930,4767312,4800243,5117678,350505,456608,454661,391988,661779,360065,405337,407302,398914,431076,8468846.31,7712153,8276959.53,9248357.83,9237166,7056676,7665634,8132353,8695438,9761379
Jabalpur,5,NA,20,2489861,3502328,2744324,2369281,2782411,2529290,2396616,2381559,2355005,2424459,101491,256656,187878,127547,227950,159351,144614,149794,156216,177481,3577457,4047001,3935519,3534183.22,3991469,2780623,2903229,2968513,3353543,3635744
Jabalpur,5,NA,22,6058228,6482109,6402679,5635639,6302835,5208639,5003937,5154566,5106824,5439447,1270166,1628433,1529407,1699739,1519551,1222654,1175405,1246632,1277541,1451067,13035247,11473902,11456398,16979607,14424109,9962074,10404975,11124264,12037446,13417495
Jabalpur,5,NA,25,4196389.24,4467508,4206998,3895707,4219360,3509865,3433520,3432416,3428912,3703283,736463,579661,568866,465712,598169,471177,439003,439729,444686,490046,6308373,6498104,5820997,6288971,6755078,4891649,5365356,5482392,5660902,6221751
Jabalpur,6,NA,26,2151415,1941455,2595819,2322211,2277816,2033166,2021596,2001523,1976735,2073140,165853,99396,86053,144570,142347,111017,108421,112032,99742,106453,1980031,2026685,1716699,1775998,1784738,1703944,1661863,1638939,1721695,1833439
Jabalpur,6,NA,29,3577461,3901013,5373975.31,6000692.21,5935672.67,3967279,4089309,4156880,4486906,4884037,249609,241137,279910,247274,228653,161812,160682,157214,188746,230105,3739622,5134327,4704378.02,6887244.46,7695389,3784013,4482107,4666564,6824264,7816772
Jabalpur,6,NA,30,3407778,3884371,5564101.15,6439903,7132329,4328718,4764431,5031305,5176511,6178864,109162,134703,144839,252418,214319,127092,141953,157059,160492,172438,1941497,1766718,2253695.05,2161516,4851215,1869018,1952792,2119729,2968168,3223458
Jabalpur,6,NA,31,4605474.42,4490671.88,5920264.34,7547402,6865924,4807293,4859097,4942146,5045043,5469685,142967,60700,129123,105197,137382,97803,98378,97413,103574,112397,2456939,1836841,2557625,2921531,3049443,2091977,2233702,2270215,2783562,3030359
Jabalpur,6,NA,37,4085649.5,3916994,3989683.87,4146396,4756778.32,3619979,3573287,3613691,3717901,3964272,198510,371002.07,577787,315527,348724,295138,335660,336394,341196,367613,2646123.6,2118688,2625971,3273266,3906865,2350545,2477647,2569086,2772058,2955052
Jabalpur,7,NA,42,1867502,2109561,3416630,2425038,2757965,1704804,1782176,1954795,2026505,2238887,20037,9640,35509,69182,31061,30452,31411,23486,19248,22155,374696,328814,492930,673844,601327,347420,379414,391795,568807,633866
Jabalpur,7,NA,56,3197667,3198051,3677279,4395693.82,4199951,3032804,3057362,3080323,3308575,3609680,92820,85514,63572,72642,84982,73221,77087,76961,78840,89338,1850070,2003883,2020726,2740483,2901324,1814621,1935191,1963939,2658181,2949829
Jabalpur,7,NA,57,6445255,6759530,7605073,7182715,7803253,5947693,6065901,6275248,6510094,7220875,64288,73572,101061,74503,116539,69238,74589,75033,76334,99166,2322564,2078899,2092848,2651381,2673749,2000804,2131861,2210745,2772497,3043300
Jabalpur,7,NA,60,3568885,4413024,4808871,5010237.21,5773836,3615075,3601151,3651136,3675576,4004711,12083,26255,104379,40542,39202,34980,43062,33081,31329,34783,837663,727071,631858,760832,744853.11,617151,618462,646866,731778,772467
Jabalpur,7,NA,61,4565968,4479074,5397767,5035425.02,4992872,3800222,3929543,4100767,4211481,4451493,192152,222638,182087,142209,245708,168136,169332,183086,184958,181531,1283230,1315834,1569153,1714963,1697851,1172311,1406967,1444484,1665879,1846821
Jabalpur,8,NA,24,4337188,4709260,4335408,4715462,4789216,4431440,4269979,4040371,4256117,4497271,182709,242202,169428,164251,204734,182555,168736,161233,177928,182375,2735455,2631352,2298378,2333454,1891666,2634806,2529523,2556959,2903379,3146628
Jabalpur,8,NA,36,479664,881730,983721,1360681,1159199,772595,780196,852443,885693,958336,5087,14110,14356,32088,15905,19583,19359,19357,18305,19060,169941,139315,156762,264905,233237,170027,175976,166755,196036,211152
Jabalpur,8,NA,41,1559842,2168271,2006199,2229630,2311924,1679254,1746333,1847957,1892329,2030667,11370,20009,28576,13756,5470,16023,16661,16208,16710,18941,734547,612195,757624,953024,914118,829532,825566,856977,1040103,1182877
Jabalpur,8,NA,45,3164866,3296889,3535489,4159967.18,3512490,3101764,3073392,3253136,3213626,3389280,160339,82699,116196,125358,127291,92625,91543,98305,96005,123782,1567102,1408779,1165106,1485738,1281309,1179481,1207801,1198763,1226034,1368603
Jabalpur,8,NA,49,695985,554044,1041300,1044064,1019811,601151,614844,635902,659046,707031,6700,6212,5150,32295,35638,7499,9818,9621,23236,23844,91842,110743,109061,166030,189343,95299,89605,94228,118474,145934
Jabalpur,8,NA,50,506507,698661,851936,997783,1314033,547356,548267,632306,680639,750825,660,9323,7106,3236,14124,8527,8249,8860,8860,9833,51787,42692,56140,31546,73696,58273,58272,60058,56662,73320
Jabalpur,8,NA,51,1741985.3,1805296,2057417,2322585,2396182,1390876,1416171,1743559,1861476,2061517,125044,126113,143423,137008,214681,127077,110491,118488,157283,174940,1064723,1204112,1173517,1506649,1512964,1114815,1222260,1301805,1575604,1742742
Jabalpur,8,NA,55,1728825,2280519,1818248,1520670,2160342,1699829,1691217,1732693,1730318,1826366,13555,16464,21188,14671,61389,33407,29721,28638,28638,30673,515067,487323,353021,372036,313080,364129,366110,363294,392932,413234
Jabalpur,8,NA,58,1553397,1298514,1520391,1434741,1534247,1287314,1261727,1374193,1297060,1448402,34331,20244,28843,35507,24008,26143,27833,29331,30008,33376,399737,225871,246840,213821,252773,265618,278810,284505,270271,306002
Jabalpur,8,NA,59,847341,737042,628919,672691,700094,665880,662747,708996,711132,763303,12340,9861,7748,20866,22668,17295,17295,17294,19445,27838,238053,138758,87610,208093,142763,210655,232052,235759,223475,263407
Jabalpur,9,NA,44,2343549,2271382,2475046,2672438,2423802,1997160,2006966,2169568,2194847,2358277,58935,93674,43306,44649,92325,52885,49249,49684,47009,72229,764966,810435,662906,664097,743270,588506,653562,673044,701833,742798
Jabalpur,9,NA,46,2178109,2456817,2403725,2548577,2499007.8,1805264,1783663,1876171,1919590,2060867,198956,154378,90629,154590,146899,120935,122935,120108,121851,130867,1158132,1121652,846087,987918,1194173,846472,846963,865962,960240,1085663
Jabalpur,9,NA,47,2102947,2613619,2623999,2160236,2204997,1587898,1610064,1698605,1738767,1944703,24388,35084,40458,45291,67197,39439,40904,40560,39941,41469,358028,337291,349546,298958,438405,269911,282649,281811,330827,407339
Jabalpur,9,NA,48,1202614,1503647,1693544,1540530,1703691,1057117,1072036,1157085,1212881,1412784,10484,23895,20579,40023,44993,18826,21683,21302,26077,32705,227694,334110,323067,254704,224927,203058,202844,228104,255303,284138
Jabalpur,10,NA,62,2802264,2848205,3115231,3227484,3492121,2782881,2830806,2950705,3014069,3207090,394645,214518,210056,189170,203261,215595,214145,209620,199483,224100,513273,790057,529093,734181,766071,641016,646602,661521,707145,801673
Jabalpur,10,NA,63,2525905,2605622.7,2770840,3604765,3424788,2420426,2492602,2690447,2925787,3194768,48277,21089,45141,48227,170138,46643,51906,49798,53651,58474,427119,563876,470735,830320,794892,616672,644305,721725,816508,881007
Jabalpur,10,NA,64,2161282,2492616.29,3122878,3198438,3395730,2321531,2308755,2598228,2676404,2877109,51154,43036,79045,82680,57592,60941,62103,62224,61981,63711,717228,615506,850758,1000593,969857,710227,748075,801064,905820,940893
Jabalpur,10,NA,68,2643276,2438194,2624865,2615779,2486141,2171702,2211523,2347637,2403948,2811087,48956,50183,45493,46125,31443,47990,44683,43734,44546,59440,775412,632535,564982,887288,839188,619611,647905,668250,849884,1003140
Jabalpur,10,NA,69,3931213,4372479,4127118,5024947,4559324,4011650,4025858,4207176,4128315,4387014,533996,697137,514160,581530,747776,551778,541482,544521,612834,636031,2642911,2446479,2253324,3215342,3544889,2434995,2541393,2664535,3203447,3421861
Jabalpur,10,NA,70,5000,900,2662018,4987048.1,6266824.37,3315,600,5597557,5958430,6556003,0,0,16665,55479,77555,0,0,96379,102106,113893,11357,0,161003,686505,1165345,11579,16895,1109810,1156632,1330880
Jabalpur,11,NA,43,1464455,1867465,1531143.89,1501965,1894950.73,1309804,1262338,1401402,1339062,1398061,196865,317424,326805,203737,217566,161506,172036,182045,197715,231121,715330,626729,795355,1008012,906542,596084,624319,681571,768931,1026729
