City_Name,Zone_Name,Ward_No,Tax_Collection_Cr_2013_14_Residential,Tax_Collection_Cr_2014_15_Residential,Tax_Collection_Cr_2015_16_Residential,Tax_Collection_Cr_2016_17_Residential,Tax_Collection_Cr_2017_18_Residential,Tax_Demand_Cr_2013_14_Residential,Tax_Demand_Cr_2014_15_Residential,Tax_Demand_Cr_2015_16_Residential,Tax_Demand_Cr_2016_17_Residential,Tax_Demand_Cr_2017_18_Residential,Tax_Collection_Cr_2013_14_Commercial,Tax_Collection_Cr_2014_15_Commercial,Tax_Collection_Cr_2015_16_Commercial,Tax_Collection_Cr_2016_17_Commercial,Tax_Collection_Cr_2017_18_Commercial,Tax_Demand_Cr_2013_14_Commercial,Tax_Demand_Cr_2014_15_Commercial,Tax_Demand_Cr_2015_16_Commercial,Tax_Demand_Cr_2016_17_Commercial,Tax_Demand_Cr_2017_18_Commercial
Jabalpur,7,56,0.32,0.32,0.37,0.44,0.42,0.3,0.31,0.31,0.33,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Jabalpur,7,57,0.64,0.68,0.76,0.72,0.78,0.59,0.61,0.63,0.65,0.72,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Jabalpur,7,60,0.36,0.44,0.48,0.5,0.58,0.36,0.36,0.37,0.37,0.4,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabalpur,7,61,0.46,0.45,0.54,0.5,0.5,0.38,0.39,0.41,0.42,0.45,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02
Jabalpur,8,24,0.43,0.47,0.43,0.47,0.48,0.44,0.43,0.4,0.43,0.45,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Jabalpur,8,36,0.05,0.09,0.1,0.14,0.12,0.08,0.08,0.09,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabalpur,8,41,0.16,0.22,0.2,0.22,0.23,0.17,0.17,0.18,0.19,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabalpur,8,45,0.32,0.33,0.35,0.42,0.35,0.31,0.31,0.33,0.32,0.34,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Jabalpur,8,49,0.07,0.06,0.1,0.1,0.1,0.06,0.06,0.06,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabalpur,8,50,0.05,0.07,0.09,0.1,0.13,0.05,0.05,0.06,0.07,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabalpur,8,51,0.17,0.18,0.21,0.23,0.24,0.14,0.14,0.17,0.19,0.21,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02
Jabalpur,8,55,0.17,0.23,0.18,0.15,0.22,0.17,0.17,0.17,0.17,0.18,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Jabalpur,8,58,0.16,0.13,0.15,0.14,0.15,0.13,0.13,0.14,0.13,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabalpur,8,59,0.08,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabalpur,9,44,0.23,0.23,0.25,0.27,0.24,0.2,0.2,0.22,0.22,0.24,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01
Jabalpur,9,46,0.22,0.25,0.24,0.25,0.25,0.18,0.18,0.19,0.19,0.21,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
Jabalpur,9,47,0.21,0.26,0.26,0.22,0.22,0.16,0.16,0.17,0.17,0.19,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Jabalpur,9,48,0.12,0.15,0.17,0.15,0.17,0.11,0.11,0.12,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabalpur,10,62,0.28,0.28,0.31,0.32,0.35,0.28,0.28,0.3,0.3,0.32,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Jabalpur,10,63,0.25,0.26,0.28,0.36,0.34,0.24,0.25,0.27,0.29,0.32,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.01
Jabalpur,10,64,0.22,0.25,0.31,0.32,0.34,0.23,0.23,0.26,0.27,0.29,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Jabalpur,10,68,0.26,0.24,0.26,0.26,0.25,0.22,0.22,0.23,0.24,0.28,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Jabalpur,10,69,0.39,0.44,0.41,0.5,0.46,0.4,0.4,0.42,0.41,0.44,0.05,0.07,0.05,0.06,0.07,0.06,0.05,0.05,0.06,0.06
Jabalpur,10,70,0.0,0.0,0.27,0.5,0.63,0.0,0.0,0.56,0.6,0.66,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01
Jabalpur,11,43,0.15,0.19,0.15,0.15,0.19,0.13,0.13,0.14,0.13,0.14,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Jabalpur,11,54,0.32,0.36,0.41,0.47,0.46,0.36,0.37,0.42,0.44,0.46,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Jabalpur,11,65,0.94,0.93,0.89,1.09,1.13,0.93,0.92,0.93,0.9,1.05,0.05,0.05,0.03,0.05,0.05,0.04,0.04,0.04,0.04,0.05
Jabalpur,11,66,0.39,0.42,0.5,0.54,0.7,0.4,0.4,0.44,0.47,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
