City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial
Jabalpur,7,NA,56,3197667,3198051,3677279,4395693.82,4199951,3032804,3057362,3080323,3308575,3609680,92820,85514,63572,72642,84982,73221,77087,76961,78840,89338
Jabalpur,7,NA,57,6445255,6759530,7605073,7182715,7803253,5947693,6065901,6275248,6510094,7220875,64288,73572,101061,74503,116539,69238,74589,75033,76334,99166
Jabalpur,7,NA,60,3568885,4413024,4808871,5010237.21,5773836,3615075,3601151,3651136,3675576,4004711,12083,26255,104379,40542,39202,34980,43062,33081,31329,34783
Jabalpur,7,NA,61,4565968,4479074,5397767,5035425.02,4992872,3800222,3929543,4100767,4211481,4451493,192152,222638,182087,142209,245708,168136,169332,183086,184958,181531
Jabalpur,8,NA,24,4337188,4709260,4335408,4715462,4789216,4431440,4269979,4040371,4256117,4497271,182709,242202,169428,164251,204734,182555,168736,161233,177928,182375
Jabalpur,8,NA,36,479664,881730,983721,1360681,1159199,772595,780196,852443,885693,958336,5087,14110,14356,32088,15905,19583,19359,19357,18305,19060
Jabalpur,8,NA,41,1559842,2168271,2006199,2229630,2311924,1679254,1746333,1847957,1892329,2030667,11370,20009,28576,13756,5470,16023,16661,16208,16710,18941
Jabalpur,8,NA,45,3164866,3296889,3535489,4159967.18,3512490,3101764,3073392,3253136,3213626,3389280,160339,82699,116196,125358,127291,92625,91543,98305,96005,123782
Jabalpur,8,NA,49,695985,554044,1041300,1044064,1019811,601151,614844,635902,659046,707031,6700,6212,5150,32295,35638,7499,9818,9621,23236,23844
Jabalpur,8,NA,50,506507,698661,851936,997783,1314033,547356,548267,632306,680639,750825,660,9323,7106,3236,14124,8527,8249,8860,8860,9833
Jabalpur,8,NA,51,1741985.3,1805296,2057417,2322585,2396182,1390876,1416171,1743559,1861476,2061517,125044,126113,143423,137008,214681,127077,110491,118488,157283,174940
Jabalpur,8,NA,55,1728825,2280519,1818248,1520670,2160342,1699829,1691217,1732693,1730318,1826366,13555,16464,21188,14671,61389,33407,29721,28638,28638,30673
Jabalpur,8,NA,58,1553397,1298514,1520391,1434741,1534247,1287314,1261727,1374193,1297060,1448402,34331,20244,28843,35507,24008,26143,27833,29331,30008,33376
Jabalpur,8,NA,59,847341,737042,628919,672691,700094,665880,662747,708996,711132,763303,12340,9861,7748,20866,22668,17295,17295,17294,19445,27838
Jabalpur,9,NA,44,2343549,2271382,2475046,2672438,2423802,1997160,2006966,2169568,2194847,2358277,58935,93674,43306,44649,92325,52885,49249,49684,47009,72229
Jabalpur,9,NA,46,2178109,2456817,2403725,2548577,2499007.8,1805264,1783663,1876171,1919590,2060867,198956,154378,90629,154590,146899,120935,122935,120108,121851,130867
Jabalpur,9,NA,47,2102947,2613619,2623999,2160236,2204997,1587898,1610064,1698605,1738767,1944703,24388,35084,40458,45291,67197,39439,40904,40560,39941,41469
Jabalpur,9,NA,48,1202614,1503647,1693544,1540530,1703691,1057117,1072036,1157085,1212881,1412784,10484,23895,20579,40023,44993,18826,21683,21302,26077,32705
Jabalpur,10,NA,62,2802264,2848205,3115231,3227484,3492121,2782881,2830806,2950705,3014069,3207090,394645,214518,210056,189170,203261,215595,214145,209620,199483,224100
Jabalpur,10,NA,63,2525905,2605622.7,2770840,3604765,3424788,2420426,2492602,2690447,2925787,3194768,48277,21089,45141,48227,170138,46643,51906,49798,53651,58474
Jabalpur,10,NA,64,2161282,2492616.29,3122878,3198438,3395730,2321531,2308755,2598228,2676404,2877109,51154,43036,79045,82680,57592,60941,62103,62224,61981,63711
Jabalpur,10,NA,68,2643276,2438194,2624865,2615779,2486141,2171702,2211523,2347637,2403948,2811087,48956,50183,45493,46125,31443,47990,44683,43734,44546,59440
Jabalpur,10,NA,69,3931213,4372479,4127118,5024947,4559324,4011650,4025858,4207176,4128315,4387014,533996,697137,514160,581530,747776,551778,541482,544521,612834,636031
Jabalpur,10,NA,70,5000,900,2662018,4987048.1,6266824.37,3315,600,5597557,5958430,6556003,0,0,16665,55479,77555,0,0,96379,102106,113893
