City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial
TIRUCHIRAPPALLI,Ariyamangalam Zone,7,7,0.204868,0.2446656,0.2545389,0.2998646,0.1311965,0.2536525,0.2858199,0.3179823,0.35606,0.3900381,0.1017828,0.1023151,0.159926,0.1906147,0.1137523,0.2639541,0.2781727,0.3488902,0.4003173,0.430882
TIRUCHIRAPPALLI,Ariyamangalam Zone,14,14,0.1357575,0.1403675,0.1380472,0.1490492,0.0684029,0.1921103,0.1987502,0.2099926,0.2260896,0.2387205,0.1711098,0.1649027,0.1705178,0.181311,0.0748954,0.2796177,0.2817281,0.3045746,0.312443,0.3091992
TIRUCHIRAPPALLI,Ariyamangalam Zone,15,15,0.1028813,0.1187442,0.1376242,0.1395858,0.059404,0.1431989,0.1567586,0.1996558,0.2149256,0.2334806,0.0086382,0.0160908,0.0088162,0.014147,0.0091608,0.013737,0.01745,0.0292257,0.0364739,0.0384865
TIRUCHIRAPPALLI,Ariyamangalam Zone,19,19,0.1059816,0.1206543,0.082715,0.1360714,0.0749791,0.1842621,0.2001245,0.2393864,0.3194942,0.3462248,0.4852306,0.4652809,0.415432,0.4879372,0.1411501,1.0267442,1.02376,1.1068248,1.2395699,1.3011534
TIRUCHIRAPPALLI,Ariyamangalam Zone,20,20,0.0737784,0.0865522,0.0624286,0.0801184,0.0293799,0.1023845,0.1157956,0.1179815,0.1456213,0.1600732,0.1080891,0.0875994,0.0758719,0.0819662,0.0204735,0.1695133,0.1523807,0.1571854,0.1732901,0.1833259
TIRUCHIRAPPALLI,Ariyamangalam Zone,21,21,0.0901936,0.0898457,0.0820865,0.0917464,0.0415793,0.1077795,0.1119433,0.1189782,0.1361552,0.1449776,0.0551794,0.0508456,0.0459243,0.0592404,0.0219479,0.070492,0.0656854,0.0746696,0.0881513,0.0834333
TIRUCHIRAPPALLI,Ariyamangalam Zone,22,22,0.1539084,0.1631115,0.1506822,0.1781625,0.0731352,0.1951707,0.2096968,0.2188285,0.244915,0.2490022,0.0262553,0.0266254,0.0248443,0.0295562,0.0124867,0.0342305,0.038138,0.0470083,0.0535026,0.0554518
TIRUCHIRAPPALLI,Ariyamangalam Zone,23,23,0.107041,0.1304728,0.1042569,0.131178,0.0473302,0.1559391,0.1760585,0.1769773,0.2034256,0.2277585,0.1152,0.1234319,0.115215,0.1341145,0.0403977,0.1375659,0.1447814,0.1547302,0.1726732,0.1685123
TIRUCHIRAPPALLI,Ariyamangalam Zone,24,24,0.0937589,0.1154222,0.1227745,0.1167269,0.0547584,0.1300478,0.1395292,0.1376136,0.1282314,0.1274631,0.0238641,0.0322623,0.0295159,0.0301274,0.0149539,0.0374055,0.0394949,0.0375414,0.0383343,0.0385157
TIRUCHIRAPPALLI,Ariyamangalam Zone,25,25,0.1170066,0.1154429,0.1108838,0.1194522,0.0543506,0.1886972,0.1832407,0.1882696,0.2002712,0.2113566,0.0185526,0.0197172,0.0173083,0.0171381,0.0070729,0.0211109,0.0201257,0.0177843,0.0174638,0.0172921
TIRUCHIRAPPALLI,Ariyamangalam Zone,26,26,0.1006737,0.0990862,0.088156,0.1074627,0.0544369,0.1186775,0.1195009,0.124304,0.1411028,0.1467156,0.0435322,0.043835,0.0420948,0.0444547,0.0216856,0.0469052,0.0481397,0.0503107,0.0536615,0.0546524
TIRUCHIRAPPALLI,Ariyamangalam Zone,27,27,0.3156685,0.3523857,0.3419108,0.3763227,0.2155427,0.3750968,0.4201766,0.4638434,0.5415964,0.6448855,0.3979629,0.4107848,0.4276159,0.460257,0.2375413,0.4074798,0.4226414,0.4518491,0.5055119,0.5790239
TIRUCHIRAPPALLI,Ariyamangalam Zone,28,28,0.090769,0.1165374,0.1018291,0.1511374,0.0598639,0.1289649,0.1547203,0.1619939,0.195084,0.1938927,0.0182391,0.0233749,0.023391,0.034975,0.0185567,0.0245309,0.0285835,0.0339748,0.0455392,0.0504938
TIRUCHIRAPPALLI,Ariyamangalam Zone,29,29,0.2013958,0.294287,0.2335358,0.2620794,0.0919922,0.3249714,0.3794797,0.353529,0.3993155,0.4217267,0.0887458,0.1566379,0.1486821,0.1776276,0.1444027,0.1091934,0.1785441,0.1734044,0.2087398,0.2477421
TIRUCHIRAPPALLI,Ariyamangalam Zone,33,33,0.328954,0.3407332,0.3460031,0.3627601,0.1791842,0.3562419,0.368315,0.3849754,0.4022616,0.4069951,0.209914,0.1429557,0.1556885,0.1529428,0.0781701,0.2380155,0.1841265,0.211099,0.217494,0.225531
TIRUCHIRAPPALLI,Ariyamangalam Zone,61,61,0.0455432,0.0485049,0.0386101,0.0473343,0.021985,0.063513,0.0684398,0.071406,0.0855249,0.0909308,0.004667,0.0046596,0.0044633,0.0047702,0.0007627,0.0478792,0.0620593,0.0767207,0.0915068,0.106045
TIRUCHIRAPPALLI,Ariyamangalam Zone,62,62,0.0321547,0.0346844,0.0277199,0.0467343,0.0217555,0.0427156,0.0477606,0.0516884,0.0656795,0.0630019,0.0014467,0.0021752,0.0017309,0.0019943,0.0007847,0.0014467,0.0022016,0.0017871,0.0020087,0.0020494
TIRUCHIRAPPALLI,Ariyamangalam Zone,64,64,0.1035456,0.1091957,0.0935518,0.1130643,0.0505951,0.1117267,0.1108342,0.1113096,0.1367775,0.1466748,0.014277,0.0139043,0.0126995,0.0137387,0.0106095,0.0153908,0.0143983,0.0149116,0.0179548,0.0222317
TIRUCHIRAPPALLI,Golden Rock Zone,30,30,0.3020572,0.306125,0.3159813,0.3398653,0.1278136,0.330697,0.3277805,0.3463609,0.3732936,0.3833822,0.0176361,0.0176831,0.0204542,0.0181515,0.0050735,0.0187333,0.0182265,0.0216154,0.0203698,0.0215697
TIRUCHIRAPPALLI,Golden Rock Zone,31,31,0.1361639,0.138395,0.1428032,0.1461329,0.0483467,0.1415001,0.1419164,0.1528765,0.1613309,0.1692976,0.0239677,0.0231656,0.0304243,0.0248991,0.0085354,0.025648,0.0234647,0.0306895,0.0255194,0.0258745
TIRUCHIRAPPALLI,Golden Rock Zone,34,34,0.2436875,0.2631673,0.2538509,0.2807558,0.1022017,0.8572661,0.6207042,0.6611611,0.7304017,0.7763868,0.1326575,0.1258405,0.1461577,0.1380994,0.0647492,0.1486718,0.1462193,0.1760931,0.1654766,0.1667674
TIRUCHIRAPPALLI,Golden Rock Zone,35,35,0.3423699,0.386206,0.3946623,0.410979,0.1642845,0.4023825,0.4267226,0.4692934,0.5119023,0.554182,0.1687596,0.1248943,0.14683,0.1399158,0.030042,0.1705333,0.1259677,0.1541847,0.153603,0.1604736
TIRUCHIRAPPALLI,Golden Rock Zone,36,36,0.2462528,0.2410256,0.2509918,0.2648182,0.0917549,0.2952559,0.2898317,0.3192192,0.341293,0.3504522,0.01733,0.0192245,0.0237235,0.0232986,0.0080531,0.0206685,0.0236205,0.0349653,0.0341362,0.031591
TIRUCHIRAPPALLI,Golden Rock Zone,37,37,0.3157683,0.3730096,0.3873799,0.4658075,0.1679554,0.36361,0.4168936,0.4881916,0.5898094,0.6198832,0.0378312,0.0392407,0.0909516,0.1163137,0.0107944,0.0398874,0.0419696,0.0974015,0.1302583,0.1411882
TIRUCHIRAPPALLI,Golden Rock Zone,38,38,0.8518315,0.9481044,0.9273883,1.0802317,0.5185734,0.9774372,1.091797,1.1642796,1.3127896,1.3698793,0.1214393,0.1185895,0.1503505,0.1730698,0.0549759,0.1295641,0.1353497,0.1864501,0.1981411,0.1946227
TIRUCHIRAPPALLI,Golden Rock Zone,39,39,0.2526835,0.2486568,0.2946854,0.303812,0.1674815,0.3208327,0.2969547,0.3602838,0.3708781,0.4079213,0.0196968,0.0207493,0.0335982,0.0262687,0.0150723,0.0209353,0.0209302,0.0344412,0.0275231,0.036863
TIRUCHIRAPPALLI,Golden Rock Zone,42,42,0.3243459,0.3448785,0.2859927,0.3664654,0.1293956,0.3745383,0.3640179,0.3588178,0.4190481,0.4185786,0.0667676,0.0769983,0.0767363,0.0788951,0.0184289,0.0692701,0.0778081,0.0848358,0.0889245,0.0974596
TIRUCHIRAPPALLI,Golden Rock Zone,43,43,0.2580973,0.2609569,0.2631815,0.2851831,0.1321772,0.2819281,0.288476,0.2965961,0.3129297,0.3189576,0.0951293,0.0903985,0.092564,0.1178724,0.0785968,0.132801,0.1609787,0.1149785,0.143958,0.1762888
TIRUCHIRAPPALLI,Golden Rock Zone,44,44,0.8980342,0.9470734,0.6829027,0.6290163,0.2304232,1.7980446,1.3353402,0.8945875,0.8508919,0.8059882,2.1364921,2.9544799,2.1173158,2.0865881,0.6152524,6.2031115,6.1098844,4.8019999,4.875485,5.1173644
TIRUCHIRAPPALLI,Golden Rock Zone,46,46,0.4978203,0.5723194,0.5294192,0.5930531,0.2689578,0.6056272,0.6924372,0.7336444,0.8382718,0.9043919,0.379116,0.4807962,0.5531931,0.3244142,0.1626799,1.1682823,1.1694075,0.8802395,0.6785477,0.6956079
TIRUCHIRAPPALLI,Golden Rock Zone,47,47,0.093988,0.0979865,0.090247,0.0947845,0.0369816,0.1158362,0.1211493,0.1244205,0.1371569,0.1472486,0.365691,0.3140357,0.328583,0.3279639,0.102745,0.3884758,0.3447782,0.366789,0.3714955,0.3907955
TIRUCHIRAPPALLI,Golden Rock Zone,48,48,0.2043889,0.1980424,0.1816175,0.2201833,0.0698191,0.2931511,0.2899525,0.3078174,0.3465295,0.3524266,0.045294,0.0446721,0.0468626,0.0448209,0.0102874,0.060174,0.0614614,0.0664125,0.0669233,0.0693476
TIRUCHIRAPPALLI,Golden Rock Zone,63,63,0.1896869,0.1978617,0.2075843,0.2073828,0.1185284,0.1896869,0.1978617,0.2096123,0.2173664,0.2263349,0.0008611,0.0027062,0.010627,0.0082714,0.0071631,0.0008611,0.0027062,0.0106394,0.00829,0.0109009
TIRUCHIRAPPALLI,Golden Rock Zone,65,65,0.1443184,0.1489316,0.1549235,0.1566025,0.0479645,0.1462488,0.150877,0.1569929,0.1590662,0.1620659,0.0549102,0.0546891,0.057819,0.0566114,0.0183972,0.090608,0.0940597,0.1008674,0.1033276,0.1073156
TIRUCHIRAPPALLI,K-Abishekapuram Zone,40,40,0.3795665,0.3952803,0.4325669,0.4071569,0.2352285,0.5513332,0.5910189,0.6574013,0.7323502,0.8771964,0.1630136,0.1372287,0.199785,0.1669057,0.0886917,0.1892051,0.191894,0.2330521,0.223761,0.2707347
TIRUCHIRAPPALLI,K-Abishekapuram Zone,41,41,0.4763367,0.4773364,0.5024475,0.5959751,0.328001,0.5262238,0.5563751,0.6177768,0.7233108,0.800865,0.0527452,0.0596232,0.1551745,0.1483972,0.0386829,0.0566943,0.0626226,0.2561055,0.2670551,0.233315
TIRUCHIRAPPALLI,K-Abishekapuram Zone,45,45,0.8052714,0.8070226,0.7568774,0.8155416,0.3247898,0.9294093,0.9192198,0.9498056,1.0751669,1.1917871,0.4927345,0.6293852,1.8367582,0.8515294,0.4329482,3.1858074,3.4001584,3.0511894,2.0602705,2.2399676
TIRUCHIRAPPALLI,K-Abishekapuram Zone,49,49,0.123444,0.1264899,0.1125262,0.1288905,0.0681291,0.130291,0.1320805,0.1349194,0.1558968,0.1683245,0.0091416,0.0092984,0.0264271,0.0144433,0.0061867,0.0093126,0.0094156,0.0297535,0.0174899,0.017467
TIRUCHIRAPPALLI,K-Abishekapuram Zone,50,50,0.4617285,0.5025743,0.446524,0.473697,0.2059246,0.5148788,0.5380092,0.5475511,0.6355442,0.7239109,0.3564792,0.3719531,0.5348837,0.4977538,0.1567357,0.4966093,0.4210765,0.7688877,0.696792,0.7003662
TIRUCHIRAPPALLI,K-Abishekapuram Zone,51,51,0.2729837,0.3196843,0.2660745,0.285281,0.1410453,0.3432315,0.373845,0.3650876,0.4198567,0.4819231,0.3268384,0.290097,0.3133605,0.3257351,0.1421256,0.4144722,0.3866356,0.5351141,0.551303,0.5861298
TIRUCHIRAPPALLI,K-Abishekapuram Zone,52,52,0.8189043,0.8746014,0.955279,1.0496777,0.5755959,0.9532196,1.0674237,1.2040952,1.3398839,1.4324308,0.2616385,0.2800539,0.4269449,0.4514194,0.195964,0.3155186,0.3359446,0.5752473,0.6298955,0.6805498
TIRUCHIRAPPALLI,K-Abishekapuram Zone,53,53,0.296445,0.3560874,0.3751404,0.4855806,0.237592,0.3371669,0.4039877,0.484529,0.6355028,0.7000817,0.0398439,0.0453771,0.0784926,0.1257711,0.0450979,0.0465614,0.054432,0.1198195,0.1616129,0.1602906
TIRUCHIRAPPALLI,K-Abishekapuram Zone,54,54,0.3087593,0.3241224,0.3047997,0.3804552,0.1851549,0.3216249,0.3450842,0.3696861,0.4327311,0.4360412,0.1281857,0.1324588,0.1964623,0.1674818,0.0753609,1.1625735,1.2343406,1.373987,1.418566,1.498269
TIRUCHIRAPPALLI,K-Abishekapuram Zone,55,55,0.2462166,0.236981,0.237644,0.2806244,0.1174026,0.2977704,0.306936,0.3329923,0.3715484,0.3948124,0.1025057,0.1025271,0.0992993,0.12358,0.0404575,0.1153085,0.11263,0.1200629,0.1636212,0.1563742
TIRUCHIRAPPALLI,K-Abishekapuram Zone,56,56,0.685846,0.7335056,0.6869545,0.7712477,0.4415767,0.710972,0.7571002,0.7643577,0.843941,0.8880746,1.0318302,1.1160304,1.7411948,1.4798151,0.7318423,2.9976878,3.1850801,3.9327881,3.6608902,3.8066231
TIRUCHIRAPPALLI,K-Abishekapuram Zone,57,57,0.5264012,0.5453335,0.5064991,0.5778682,0.2259204,0.6455576,0.661242,0.6942466,0.7856189,0.9875763,0.8141405,0.7722668,1.0352825,1.0440331,0.3437998,1.4829358,1.486563,1.8527844,1.8441856,1.8720251
TIRUCHIRAPPALLI,K-Abishekapuram Zone,58,58,0.2002532,0.1823325,0.1949066,0.1956482,0.0713015,0.2194441,0.2139979,0.2341792,0.2556648,0.284045,0.0658516,0.0644687,0.0661932,0.0690111,0.0199893,0.0742819,0.0740229,0.083693,0.1019063,0.104192
TIRUCHIRAPPALLI,K-Abishekapuram Zone,59,59,0.1644008,0.160406,0.1499363,0.1764118,0.0736305,0.2074118,0.2074771,0.2150253,0.2361122,0.2558773,0.1762534,0.1351676,0.157316,0.1503952,0.0560515,0.2170817,0.1825606,0.2212514,0.2331119,0.2337167
TIRUCHIRAPPALLI,K-Abishekapuram Zone,60,60,0.2848419,0.3115372,0.3361438,0.4265246,0.1948159,0.3470553,0.3858033,0.4660309,0.6002667,0.6563718,0.0230799,0.0209774,0.0446349,0.0440398,0.0173113,0.0236652,0.0217425,0.056928,0.0710252,0.0690843
